country,code,year,percentage,latitude,longitude,continent
Algeria,DZ,1965,4.49,28.033886,1.659626,Africa
Algeria,DZ,1966,3.31,28.033886,1.659626,Africa
Algeria,DZ,1967,4.04,28.033886,1.659626,Africa
Algeria,DZ,1968,5.17,28.033886,1.659626,Africa
Algeria,DZ,1969,3,28.033886,1.659626,Africa
Algeria,DZ,1970,4.4,28.033886,1.659626,Africa
Algeria,DZ,1971,2.31,28.033886,1.659626,Africa
Algeria,DZ,1972,3.09,28.033886,1.659626,Africa
Algeria,DZ,1973,3.93,28.033886,1.659626,Africa
Algeria,DZ,1974,2.35,28.033886,1.659626,Africa
Algeria,DZ,1975,1.3,28.033886,1.659626,Africa
Algeria,DZ,1976,1.32,28.033886,1.659626,Africa
Algeria,DZ,1977,0.83,28.033886,1.659626,Africa
Algeria,DZ,1978,0.61,28.033886,1.659626,Africa
Algeria,DZ,1979,0.54,28.033886,1.659626,Africa
Algeria,DZ,1980,0.4,28.033886,1.659626,Africa
Algeria,DZ,1981,0.47,28.033886,1.659626,Africa
Algeria,DZ,1982,0.54,28.033886,1.659626,Africa
Algeria,DZ,1983,0.24,28.033886,1.659626,Africa
Algeria,DZ,1984,0.48,28.033886,1.659626,Africa
Algeria,DZ,1985,0.68,28.033886,1.659626,Africa
Algeria,DZ,1986,0.25,28.033886,1.659626,Africa
Algeria,DZ,1987,0.49,28.033886,1.659626,Africa
Algeria,DZ,1988,0.17,28.033886,1.659626,Africa
Algeria,DZ,1989,0.21,28.033886,1.659626,Africa
Algeria,DZ,1990,0.12,28.033886,1.659626,Africa
Algeria,DZ,1991,0.26,28.033886,1.659626,Africa
Algeria,DZ,1992,0.17,28.033886,1.659626,Africa
Algeria,DZ,1993,0.33,28.033886,1.659626,Africa
Algeria,DZ,1994,0.15,28.033886,1.659626,Africa
Algeria,DZ,1995,0.17,28.033886,1.659626,Africa
Algeria,DZ,1996,0.12,28.033886,1.659626,Africa
Algeria,DZ,1997,0.07,28.033886,1.659626,Africa
Algeria,DZ,1998,0.19,28.033886,1.659626,Africa
Algeria,DZ,1999,0.18,28.033886,1.659626,Africa
Algeria,DZ,2000,0.05,28.033886,1.659626,Africa
Algeria,DZ,2001,0.06,28.033886,1.659626,Africa
Algeria,DZ,2002,0.05,28.033886,1.659626,Africa
Algeria,DZ,2003,0.21,28.033886,1.659626,Africa
Algeria,DZ,2004,0.19,28.033886,1.659626,Africa
Algeria,DZ,2005,0.41,28.033886,1.659626,Africa
Algeria,DZ,2006,0.15,28.033886,1.659626,Africa
Algeria,DZ,2007,0.15,28.033886,1.659626,Africa
Algeria,DZ,2008,0.18,28.033886,1.659626,Africa
Algeria,DZ,2009,0.2,28.033886,1.659626,Africa
Algeria,DZ,2010,0.11,28.033886,1.659626,Africa
Algeria,DZ,2011,0.22,28.033886,1.659626,Africa
Algeria,DZ,2012,0.21,28.033886,1.659626,Africa
Algeria,DZ,2013,0.06,28.033886,1.659626,Africa
Algeria,DZ,2014,0.11,28.033886,1.659626,Africa
Algeria,DZ,2015,0.09,28.033886,1.659626,Africa
Algeria,DZ,2016,0.14,28.033886,1.659626,Africa
Algeria,DZ,2017,0.23,28.033886,1.659626,Africa
Algeria,DZ,2018,0.27,28.033886,1.659626,Africa
Algeria,DZ,2019,0.27,28.033886,1.659626,Africa
Argentina,AR,1965,1.09,-38.416097,-63.616672,Americas
Argentina,AR,1966,1.07,-38.416097,-63.616672,Americas
Argentina,AR,1967,1.06,-38.416097,-63.616672,Americas
Argentina,AR,1968,1.21,-38.416097,-63.616672,Americas
Argentina,AR,1969,1.05,-38.416097,-63.616672,Americas
Argentina,AR,1970,1.32,-38.416097,-63.616672,Americas
Argentina,AR,1971,1.24,-38.416097,-63.616672,Americas
Argentina,AR,1972,1.2,-38.416097,-63.616672,Americas
Argentina,AR,1973,2.22,-38.416097,-63.616672,Americas
Argentina,AR,1974,3.56,-38.416097,-63.616672,Americas
Argentina,AR,1975,3.78,-38.416097,-63.616672,Americas
Argentina,AR,1976,3.45,-38.416097,-63.616672,Americas
Argentina,AR,1977,3.8,-38.416097,-63.616672,Americas
Argentina,AR,1978,4.99,-38.416097,-63.616672,Americas
Argentina,AR,1979,6.48,-38.416097,-63.616672,Americas
Argentina,AR,1980,9.19,-38.416097,-63.616672,Americas
Argentina,AR,1981,9.24,-38.416097,-63.616672,Americas
Argentina,AR,1982,10.81,-38.416097,-63.616672,Americas
Argentina,AR,1983,10.86,-38.416097,-63.616672,Americas
Argentina,AR,1984,11.71,-38.416097,-63.616672,Americas
Argentina,AR,1985,12.46,-38.416097,-63.616672,Americas
Argentina,AR,1986,11.49,-38.416097,-63.616672,Americas
Argentina,AR,1987,11.43,-38.416097,-63.616672,Americas
Argentina,AR,1988,7.79,-38.416097,-63.616672,Americas
Argentina,AR,1989,7.01,-38.416097,-63.616672,Americas
Argentina,AR,1990,9.73,-38.416097,-63.616672,Americas
Argentina,AR,1991,8.73,-38.416097,-63.616672,Americas
Argentina,AR,1992,9.89,-38.416097,-63.616672,Americas
Argentina,AR,1993,11.4,-38.416097,-63.616672,Americas
Argentina,AR,1994,13.29,-38.416097,-63.616672,Americas
Argentina,AR,1995,12.99,-38.416097,-63.616672,Americas
Argentina,AR,1996,11.17,-38.416097,-63.616672,Americas
Argentina,AR,1997,14.3,-38.416097,-63.616672,Americas
Argentina,AR,1998,13.56,-38.416097,-63.616672,Americas
Argentina,AR,1999,11.46,-38.416097,-63.616672,Americas
Argentina,AR,2000,14.07,-38.416097,-63.616672,Americas
Argentina,AR,2001,17.31,-38.416097,-63.616672,Americas
Argentina,AR,2002,17.99,-38.416097,-63.616672,Americas
Argentina,AR,2003,15.79,-38.416097,-63.616672,Americas
Argentina,AR,2004,13.49,-38.416097,-63.616672,Americas
Argentina,AR,2005,13.99,-38.416097,-63.616672,Americas
Argentina,AR,2006,14.79,-38.416097,-63.616672,Americas
Argentina,AR,2007,12.25,-38.416097,-63.616672,Americas
Argentina,AR,2008,11.83,-38.416097,-63.616672,Americas
Argentina,AR,2009,13.1,-38.416097,-63.616672,Americas
Argentina,AR,2010,13.05,-38.416097,-63.616672,Americas
Argentina,AR,2011,12.84,-38.416097,-63.616672,Americas
Argentina,AR,2012,12.04,-38.416097,-63.616672,Americas
Argentina,AR,2013,12.64,-38.416097,-63.616672,Americas
Argentina,AR,2014,12.89,-38.416097,-63.616672,Americas
Argentina,AR,2015,12.91,-38.416097,-63.616672,Americas
Argentina,AR,2016,11.97,-38.416097,-63.616672,Americas
Argentina,AR,2017,13.14,-38.416097,-63.616672,Americas
Argentina,AR,2018,13.36,-38.416097,-63.616672,Americas
Argentina,AR,2019,13.56,-38.416097,-63.616672,Americas
Australia,AU,1965,5.47,-25.274398,133.775136,Oceania
Australia,AU,1966,4.77,-25.274398,133.775136,Oceania
Australia,AU,1967,4.65,-25.274398,133.775136,Oceania
Australia,AU,1968,4.57,-25.274398,133.775136,Oceania
Australia,AU,1969,4.78,-25.274398,133.775136,Oceania
Australia,AU,1970,5.1,-25.274398,133.775136,Oceania
Australia,AU,1971,5.48,-25.274398,133.775136,Oceania
Australia,AU,1972,5.27,-25.274398,133.775136,Oceania
Australia,AU,1973,5.26,-25.274398,133.775136,Oceania
Australia,AU,1974,5.6,-25.274398,133.775136,Oceania
Australia,AU,1975,5.92,-25.274398,133.775136,Oceania
Australia,AU,1976,5.45,-25.274398,133.775136,Oceania
Australia,AU,1977,4.95,-25.274398,133.775136,Oceania
Australia,AU,1978,5.22,-25.274398,133.775136,Oceania
Australia,AU,1979,4.88,-25.274398,133.775136,Oceania
Australia,AU,1980,4.58,-25.274398,133.775136,Oceania
Australia,AU,1981,4.68,-25.274398,133.775136,Oceania
Australia,AU,1982,4.36,-25.274398,133.775136,Oceania
Australia,AU,1983,4.11,-25.274398,133.775136,Oceania
Australia,AU,1984,4.26,-25.274398,133.775136,Oceania
Australia,AU,1985,4.48,-25.274398,133.775136,Oceania
Australia,AU,1986,4.36,-25.274398,133.775136,Oceania
Australia,AU,1987,4.13,-25.274398,133.775136,Oceania
Australia,AU,1988,4.22,-25.274398,133.775136,Oceania
Australia,AU,1989,4.03,-25.274398,133.775136,Oceania
Australia,AU,1990,4.08,-25.274398,133.775136,Oceania
Australia,AU,1991,4.33,-25.274398,133.775136,Oceania
Australia,AU,1992,4.35,-25.274398,133.775136,Oceania
Australia,AU,1993,4.35,-25.274398,133.775136,Oceania
Australia,AU,1994,4.13,-25.274398,133.775136,Oceania
Australia,AU,1995,3.93,-25.274398,133.775136,Oceania
Australia,AU,1996,3.94,-25.274398,133.775136,Oceania
Australia,AU,1997,3.85,-25.274398,133.775136,Oceania
Australia,AU,1998,3.75,-25.274398,133.775136,Oceania
Australia,AU,1999,3.72,-25.274398,133.775136,Oceania
Australia,AU,2000,3.71,-25.274398,133.775136,Oceania
Australia,AU,2001,3.59,-25.274398,133.775136,Oceania
Australia,AU,2002,3.66,-25.274398,133.775136,Oceania
Australia,AU,2003,3.72,-25.274398,133.775136,Oceania
Australia,AU,2004,3.72,-25.274398,133.775136,Oceania
Australia,AU,2005,3.97,-25.274398,133.775136,Oceania
Australia,AU,2006,3.85,-25.274398,133.775136,Oceania
Australia,AU,2007,3.81,-25.274398,133.775136,Oceania
Australia,AU,2008,3.85,-25.274398,133.775136,Oceania
Australia,AU,2009,4.31,-25.274398,133.775136,Oceania
Australia,AU,2010,5.04,-25.274398,133.775136,Oceania
Australia,AU,2011,6.29,-25.274398,133.775136,Oceania
Australia,AU,2012,6.14,-25.274398,133.775136,Oceania
Australia,AU,2013,6.86,-25.274398,133.775136,Oceania
Australia,AU,2014,6.24,-25.274398,133.775136,Oceania
Australia,AU,2015,6.5,-25.274398,133.775136,Oceania
Australia,AU,2016,7.21,-25.274398,133.775136,Oceania
Australia,AU,2017,6.89,-25.274398,133.775136,Oceania
Australia,AU,2018,8.35,-25.274398,133.775136,Oceania
Australia,AU,2019,8.57,-25.274398,133.775136,Oceania
Austria,AT,1965,23.94,47.516231,14.550072,Europe
Austria,AT,1966,24.66,47.516231,14.550072,Europe
Austria,AT,1967,24.93,47.516231,14.550072,Europe
Austria,AT,1968,23.94,47.516231,14.550072,Europe
Austria,AT,1969,21.21,47.516231,14.550072,Europe
Austria,AT,1970,23.62,47.516231,14.550072,Europe
Austria,AT,1971,18.68,47.516231,14.550072,Europe
Austria,AT,1972,18.56,47.516231,14.550072,Europe
Austria,AT,1973,19.19,47.516231,14.550072,Europe
Austria,AT,1974,22.62,47.516231,14.550072,Europe
Austria,AT,1975,23.88,47.516231,14.550072,Europe
Austria,AT,1976,19.89,47.516231,14.550072,Europe
Austria,AT,1977,24.11,47.516231,14.550072,Europe
Austria,AT,1978,23.11,47.516231,14.550072,Europe
Austria,AT,1979,24.61,47.516231,14.550072,Europe
Austria,AT,1980,25.62,47.516231,14.550072,Europe
Austria,AT,1981,28,47.516231,14.550072,Europe
Austria,AT,1982,29.02,47.516231,14.550072,Europe
Austria,AT,1983,28.82,47.516231,14.550072,Europe
Austria,AT,1984,25.48,47.516231,14.550072,Europe
Austria,AT,1985,27.82,47.516231,14.550072,Europe
Austria,AT,1986,28.81,47.516231,14.550072,Europe
Austria,AT,1987,30.8,47.516231,14.550072,Europe
Austria,AT,1988,31.32,47.516231,14.550072,Europe
Austria,AT,1989,31,47.516231,14.550072,Europe
Austria,AT,1990,27.55,47.516231,14.550072,Europe
Austria,AT,1991,26.26,47.516231,14.550072,Europe
Austria,AT,1992,29.61,47.516231,14.550072,Europe
Austria,AT,1993,30.63,47.516231,14.550072,Europe
Austria,AT,1994,29.87,47.516231,14.550072,Europe
Austria,AT,1995,30.06,47.516231,14.550072,Europe
Austria,AT,1996,27.57,47.516231,14.550072,Europe
Austria,AT,1997,28.55,47.516231,14.550072,Europe
Austria,AT,1998,29.02,47.516231,14.550072,Europe
Austria,AT,1999,30.8,47.516231,14.550072,Europe
Austria,AT,2000,31.5,47.516231,14.550072,Europe
Austria,AT,2001,29.39,47.516231,14.550072,Europe
Austria,AT,2002,28.9,47.516231,14.550072,Europe
Austria,AT,2003,23.87,47.516231,14.550072,Europe
Austria,AT,2004,26.26,47.516231,14.550072,Europe
Austria,AT,2005,26.55,47.516231,14.550072,Europe
Austria,AT,2006,27.14,47.516231,14.550072,Europe
Austria,AT,2007,29.41,47.516231,14.550072,Europe
Austria,AT,2008,29.83,47.516231,14.550072,Europe
Austria,AT,2009,32.67,47.516231,14.550072,Europe
Austria,AT,2010,29.98,47.516231,14.550072,Europe
Austria,AT,2011,29.07,47.516231,14.550072,Europe
Austria,AT,2012,34.14,47.516231,14.550072,Europe
Austria,AT,2013,33.48,47.516231,14.550072,Europe
Austria,AT,2014,34.77,47.516231,14.550072,Europe
Austria,AT,2015,33.11,47.516231,14.550072,Europe
Austria,AT,2016,33.77,47.516231,14.550072,Europe
Austria,AT,2017,32.71,47.516231,14.550072,Europe
Austria,AT,2018,32.57,47.516231,14.550072,Europe
Austria,AT,2019,33.7,47.516231,14.550072,Europe
Azerbaijan,AZ,1985,1.55,40.143105,47.576927,Asia
Azerbaijan,AZ,1986,0.89,40.143105,47.576927,Asia
Azerbaijan,AZ,1987,0.91,40.143105,47.576927,Asia
Azerbaijan,AZ,1988,0.79,40.143105,47.576927,Asia
Azerbaijan,AZ,1989,0.78,40.143105,47.576927,Asia
Azerbaijan,AZ,1990,1.77,40.143105,47.576927,Asia
Azerbaijan,AZ,1991,1.96,40.143105,47.576927,Asia
Azerbaijan,AZ,1992,2.27,40.143105,47.576927,Asia
Azerbaijan,AZ,1993,3.63,40.143105,47.576927,Asia
Azerbaijan,AZ,1994,2.98,40.143105,47.576927,Asia
Azerbaijan,AZ,1995,2.7,40.143105,47.576927,Asia
Azerbaijan,AZ,1996,3.25,40.143105,47.576927,Asia
Azerbaijan,AZ,1997,3.78,40.143105,47.576927,Asia
Azerbaijan,AZ,1998,4.29,40.143105,47.576927,Asia
Azerbaijan,AZ,1999,3.33,40.143105,47.576927,Asia
Azerbaijan,AZ,2000,3.25,40.143105,47.576927,Asia
Azerbaijan,AZ,2001,2.84,40.143105,47.576927,Asia
Azerbaijan,AZ,2002,4.43,40.143105,47.576927,Asia
Azerbaijan,AZ,2003,4.98,40.143105,47.576927,Asia
Azerbaijan,AZ,2004,4.87,40.143105,47.576927,Asia
Azerbaijan,AZ,2005,4.87,40.143105,47.576927,Asia
Azerbaijan,AZ,2006,4.12,40.143105,47.576927,Asia
Azerbaijan,AZ,2007,4.25,40.143105,47.576927,Asia
Azerbaijan,AZ,2008,3.95,40.143105,47.576927,Asia
Azerbaijan,AZ,2009,4.59,40.143105,47.576927,Asia
Azerbaijan,AZ,2010,6.91,40.143105,47.576927,Asia
Azerbaijan,AZ,2011,4.79,40.143105,47.576927,Asia
Azerbaijan,AZ,2012,3.14,40.143105,47.576927,Asia
Azerbaijan,AZ,2013,2.6,40.143105,47.576927,Asia
Azerbaijan,AZ,2014,2.26,40.143105,47.576927,Asia
Azerbaijan,AZ,2015,2.57,40.143105,47.576927,Asia
Azerbaijan,AZ,2016,3.13,40.143105,47.576927,Asia
Azerbaijan,AZ,2017,2.85,40.143105,47.576927,Asia
Azerbaijan,AZ,2018,2.86,40.143105,47.576927,Asia
Azerbaijan,AZ,2019,2.48,40.143105,47.576927,Asia
Bangladesh,BD,1971,0,23.684994,90.356331,Asia
Bangladesh,BD,1972,3.06,23.684994,90.356331,Asia
Bangladesh,BD,1973,4.69,23.684994,90.356331,Asia
Bangladesh,BD,1974,3.33,23.684994,90.356331,Asia
Bangladesh,BD,1975,5.26,23.684994,90.356331,Asia
Bangladesh,BD,1976,5.2,23.684994,90.356331,Asia
Bangladesh,BD,1977,4.48,23.684994,90.356331,Asia
Bangladesh,BD,1978,4.81,23.684994,90.356331,Asia
Bangladesh,BD,1979,5.04,23.684994,90.356331,Asia
Bangladesh,BD,1980,4.44,23.684994,90.356331,Asia
Bangladesh,BD,1981,4.73,23.684994,90.356331,Asia
Bangladesh,BD,1982,3.58,23.684994,90.356331,Asia
Bangladesh,BD,1983,4.59,23.684994,90.356331,Asia
Bangladesh,BD,1984,5.76,23.684994,90.356331,Asia
Bangladesh,BD,1985,4.26,23.684994,90.356331,Asia
Bangladesh,BD,1986,2.38,23.684994,90.356331,Asia
Bangladesh,BD,1987,2.48,23.684994,90.356331,Asia
Bangladesh,BD,1988,2.91,23.684994,90.356331,Asia
Bangladesh,BD,1989,3.68,23.684994,90.356331,Asia
Bangladesh,BD,1990,3.33,23.684994,90.356331,Asia
Bangladesh,BD,1991,3.27,23.684994,90.356331,Asia
Bangladesh,BD,1992,2.85,23.684994,90.356331,Asia
Bangladesh,BD,1993,1.98,23.684994,90.356331,Asia
Bangladesh,BD,1994,2.6,23.684994,90.356331,Asia
Bangladesh,BD,1995,0.97,23.684994,90.356331,Asia
Bangladesh,BD,1996,1.83,23.684994,90.356331,Asia
Bangladesh,BD,1997,1.7,23.684994,90.356331,Asia
Bangladesh,BD,1998,1.92,23.684994,90.356331,Asia
Bangladesh,BD,1999,1.82,23.684994,90.356331,Asia
Bangladesh,BD,2000,1.53,23.684994,90.356331,Asia
Bangladesh,BD,2001,1.76,23.684994,90.356331,Asia
Bangladesh,BD,2002,1.28,23.684994,90.356331,Asia
Bangladesh,BD,2003,1.2,23.684994,90.356331,Asia
Bangladesh,BD,2004,1.16,23.684994,90.356331,Asia
Bangladesh,BD,2005,1.07,23.684994,90.356331,Asia
Bangladesh,BD,2006,0.98,23.684994,90.356331,Asia
Bangladesh,BD,2007,0.96,23.684994,90.356331,Asia
Bangladesh,BD,2008,1.15,23.684994,90.356331,Asia
Bangladesh,BD,2009,0.48,23.684994,90.356331,Asia
Bangladesh,BD,2010,0.81,23.684994,90.356331,Asia
Bangladesh,BD,2011,0.89,23.684994,90.356331,Asia
Bangladesh,BD,2012,0.78,23.684994,90.356331,Asia
Bangladesh,BD,2013,0.74,23.684994,90.356331,Asia
Bangladesh,BD,2014,0.61,23.684994,90.356331,Asia
Bangladesh,BD,2015,0.76,23.684994,90.356331,Asia
Bangladesh,BD,2016,0.75,23.684994,90.356331,Asia
Bangladesh,BD,2017,0.85,23.684994,90.356331,Asia
Bangladesh,BD,2018,0.71,23.684994,90.356331,Asia
Bangladesh,BD,2019,0.64,23.684994,90.356331,Asia
Belarus,BY,1985,0.01,53.709807,27.953389,Europe
Belarus,BY,1986,0.01,53.709807,27.953389,Europe
Belarus,BY,1987,0.01,53.709807,27.953389,Europe
Belarus,BY,1988,0.01,53.709807,27.953389,Europe
Belarus,BY,1989,0.01,53.709807,27.953389,Europe
Belarus,BY,1990,0.01,53.709807,27.953389,Europe
Belarus,BY,1991,0.01,53.709807,27.953389,Europe
Belarus,BY,1992,0.01,53.709807,27.953389,Europe
Belarus,BY,1993,0.02,53.709807,27.953389,Europe
Belarus,BY,1994,0.02,53.709807,27.953389,Europe
Belarus,BY,1995,0.02,53.709807,27.953389,Europe
Belarus,BY,1996,0.02,53.709807,27.953389,Europe
Belarus,BY,1997,0.02,53.709807,27.953389,Europe
Belarus,BY,1998,0.03,53.709807,27.953389,Europe
Belarus,BY,1999,0.02,53.709807,27.953389,Europe
Belarus,BY,2000,0.03,53.709807,27.953389,Europe
Belarus,BY,2001,0.03,53.709807,27.953389,Europe
Belarus,BY,2002,0.03,53.709807,27.953389,Europe
Belarus,BY,2003,0.03,53.709807,27.953389,Europe
Belarus,BY,2004,0.03,53.709807,27.953389,Europe
Belarus,BY,2005,0.03,53.709807,27.953389,Europe
